food,protein
일본식 계란말이,9.95
달걀찜(새우젓),9.96
매생이국,10.0
토피넛라떼,10.03
청국장찌개,10.06
표고버섯볶음밥,10.09
홍차라떼 L,10.1
카페모카 venti (iced),10.11
티라미수라떼HOT,10.18
카페라떼 grande (hot),10.2
초코바나나,10.22
그린민트 초콜릿 tall (hot),10.28
플레인 요거트 스무디 grande,10.29
곤드레나물밥,10.3
콩나물된장국,10.31
시나몬 카페모카 venti (iced),10.36
아이스 초콜릿 블렌디모,10.4
쇠고기장조림,10.41
시나몬 초콜릿 tall (hot),10.44
딥모카 카페라떼 (hot)L,10.5
버섯전,10.52
큐브라떼ICE,10.58
잡곡밥,10.59
굴전,10.6
참치볶음밥,10.63
딸기탑 마마츄리,10.7
닭가슴살샐러드,10.75
참치김치찌개,10.76
핫 초콜릿 tall (hot),10.79
리코타 딸기 샌디,10.8
카페모카HOT,10.85
미꾸라지튀김,10.89
초코눈꽃빙수,10.9
민트카페모카HOT,10.91
두부부침,10.92
시나몬 초콜릿 grande (iced),10.96
메밀국수,10.98
고추잡채,10.99
우리 고구마(나폴리M),11.0
굴무생채,11.04
우거지된장국,11.08
그린민트 카페모카 grande (hot),11.09
햄김치찌개,11.1
시나몬 카페모카 grande (hot),11.12
꽃게탕,11.13
김밥,11.14
올갱이국수,11.2
떡라면,11.21
그린민트 초콜릿 grande (iced),11.22
고등어조림,11.25
크로아상,11.28
햄부침,11.3
추어탕,11.33
콩나물국밥,11.34
월넛치노 tall,11.35
로즈힙 밀크티 HOT,11.4
불고기필라프,11.42
카페모카 tall (hot),11.49
짱뚱어탕,11.5
묵은지삼겹살볶음,11.52
낙지볶음,11.53
닭꼬치,11.56
자바칩 프로스트 L,11.6
김치김밥,11.61
돈수육 & 해물냉채,11.62
어묵조림,11.65
마파두부,11.67
캬라멜 마끼아또 venti (hot),11.68
쇠고기 메추리알 장조림,11.69
핫 초콜릿 grande (iced),11.71
오징어채조림,11.76
어묵볶음,11.78
플레인 에그디쉬,11.8
꽈리고추멸치볶음,11.81
참치마요삼각김밥,11.86
우거지해장국,11.9
오곡밥,11.95
더블크러스트 이베리코(더블 크러스트 M),12.0
영양돌솥밥,12.02
굴무국,12.04
카페모카 grande (hot),12.07
그린라떼 grande (hot),12.1
플레인 요거트 스무디 venti,12.11
잔멸치견과류볶음,12.17
소시지 치즈 롤,12.2
동태찌개,12.22
채소볶음밥,12.26
핫치킨 치즈링피자 L,12.3
캘리포니아롤,12.33
고구마 무스(R),12.35
알리오올리오파스타,12.38
잔멸치꽈리고추볶음,12.39
슈크림 브레드,12.4
병어조림,12.46
참꼬막,12.47
밀크팥 젤빙,12.57
퓨전떡갈비,12.58
연유라떼HOT,12.64
팥죽,12.69
어탕,12.7
햄달걀부침,12.71
갈치조림,12.72
두부쇠고기고추장찌개,12.77
콘 소시지,12.8
모카빵,12.82
그린민트 초콜릿 venti (iced),12.84
채소김밥,12.89
냉김치말이국수,12.9
고추전,12.91
찐빵,12.98
스크램블드에그,12.99
글램핑 바비큐(씬 M),13.0
쥐포조림,13.03
치즈베리 젤빙,13.04
시나몬 초콜릿 venti (iced),13.06
핫치킨&쉬림프 골드피자 L,13.1
닭가슴살피망볶음,13.11
낙지꼬지,13.14
갈치찌개,13.17
그린민트 초콜릿 grande (hot),13.18
시나몬 초콜릿 grande (hot),13.22
새우탕수육,13.29
목우촌미트 피자,13.3
해물콩나물찜,13.33
애호박된장국,13.35
월넛치노 grande,13.36
우동(일식),13.39
쿠앤크눈꽃빙수(우유),13.4
아귀찜,13.44
오곡라떼 L,13.5
잔치국수,13.53
버섯샤브샤브,13.57
화양적,13.58
버팔로윙데리야끼,13.59
달달하구마빙수,13.6
깨죽,13.66
올갱이국,13.7
한치초밥,13.71
물냉면,13.75
김치라면,13.8
유린기,13.86
칠리치즈 포테이토 L,13.9
핫 초콜릿 grande (hot),13.97
양념갈치젓,13.98
리얼불고기(오리지널 L),14.0
핫 초콜릿 venti (iced),14.01
오징어채소무침,14.04
콤비네이션 피자(R),14.06
순댓국,14.1
잔멸치풋고추볶음,14.12
고추김밥,14.14
소고기무국,14.2
메추리알 장조림,14.25
우동(일식),14.27
팥빙수,14.29
오리지널 핫도그,14.3
오곡바나나,14.31
달걀라면,14.36
버팔로윙오리지날,14.38
쿠앤크눈꽃빙수(일반),14.4
새우튀김롤,14.47
레드핫치킨 피자,14.5
그린민트 카페모카 venti (hot),14.51
페퍼소시지,14.6
문어초밥,14.61
소고기 가라아게 & 칠리소스,14.66
버섯찌개,14.7
까브로나라파스타,14.71
시나몬 카페모카 venti (hot),14.72
코다리 뿌리채소 들깨탕,14.75
포테이토 피자(R),14.77
묵밥,14.8
월남쌈,14.86
캐시미어 초코 L,14.9
카레라이스,14.94
맛살전,14.95
콩나물밥,14.98
불고기 피자(L),14.99
열무김치국수,15.0
비빔국수,15.06
김치찌개,15.07
곡물라떼HOT,15.16
표고버섯전,15.19
클래식 마롱 와플,15.2
자장밥,15.24
바이트 추가 점보,15.26
월넛치노 venti,15.37
깐풍 피자(R),15.38
버섯전골,15.43
군만두,15.46
꽁치조림,15.52
김치우동,15.55
북엇국,15.56
돼지고기장조림,15.58
쌀국수,15.6
알밥,15.61
불고기 피자(R),15.76
쇠머리국밥,15.83
날치알김밥,15.86
삼치조림,15.88
건갈치조림,15.93
소고기김밥,15.98
글램핑 바비큐(나폴리L),16.0
양장피,16.05
쉬림프디럭스 피자,16.1
짜장면,16.15
쇠고기김밥,16.16
새우젓두부찌개,16.2
육개장,16.21
참치샐러드,16.23
달걀찜(우유),16.45
코다리조림,16.46
백합죽,16.5
장어초밥,16.52
유산슬,16.58
멍게비빔밥,16.6
돼지곱창순대볶음,16.64
어니언링 핫도그,16.7
고구마 피자(R),16.71
